"Tier","Participant","Time","CB_code","MA_code","coders_agree","relative_time"
"Child Behavior","Child",94,"Neutral behavior","Neutral behavior",1,94
"Child Behavior","Child",95,"Neutral behavior","Neutral behavior",1,95
"Child Behavior","Child",96,"Neutral behavior","Neutral behavior",1,96
"Child Behavior","Child",97,"Neutral behavior","Neutral behavior",1,97
"Child Behavior","Child",98,"Neutral behavior","Neutral behavior",1,98
"Child Behavior","Child",99,"Neutral behavior","Neutral behavior",1,99
"Child Behavior","Child",100,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,100
"Child Behavior","Child",101,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,101
"Child Behavior","Child",102,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,102
"Child Behavior","Child",103,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,103
"Child Behavior","Child",104,"Neutral behavior","Neutral behavior",1,104
"Child Behavior","Child",105,"Neutral behavior","Neutral behavior",1,105
"Child Behavior","Child",106,"Neutral behavior","Neutral behavior",1,106
"Child Behavior","Child",107,"Neutral behavior","Neutral behavior",1,107
"Child Behavior","Child",108,"Neutral behavior","Neutral behavior",1,108
"Child Behavior","Child",109,"Neutral behavior","Neutral behavior",1,109
"Child Behavior","Child",110,"Neutral behavior","Neutral behavior",1,110
"Child Behavior","Child",111,"Neutral behavior","Neutral behavior",1,111
"Child Behavior","Child",112,"Neutral behavior","Neutral behavior",1,112
"Child Behavior","Child",113,"Neutral behavior","Neutral behavior",1,113
"Child Behavior","Child",114,"Neutral behavior","Neutral behavior",1,114
"Child Behavior","Child",115,"Neutral behavior","Neutral behavior",1,115
"Child Behavior","Child",116,"Neutral behavior","Neutral behavior",1,116
"Child Behavior","Child",117,"Neutral behavior","Neutral behavior",1,117
"Child Behavior","Child",118,"Neutral behavior","Neutral behavior",1,118
"Child Behavior","Child",119,"Neutral behavior","Neutral behavior",1,119
"Child Behavior","Child",120,"Neutral behavior","Neutral behavior",1,120
"Child Behavior","Child",121,"Neutral behavior","Neutral behavior",1,121
"Child Behavior","Child",122,"Neutral behavior","Neutral behavior",1,122
"Child Behavior","Child",123,"Neutral behavior","Neutral behavior",1,123
"Child Behavior","Child",124,"Neutral behavior","Neutral behavior",1,124
"Child Behavior","Child",125,"Neutral behavior","Neutral behavior",1,125
"Child Behavior","Child",126,"Neutral behavior","Neutral behavior",1,126
"Child Behavior","Child",127,"Neutral behavior","Neutral behavior",1,127
"Child Behavior","Child",128,"Neutral behavior","Neutral behavior",1,128
"Child Behavior","Child",129,"Neutral behavior","Neutral behavior",1,129
"Child Behavior","Child",130,"Neutral behavior","Neutral behavior",1,130
"Child Behavior","Child",131,"Neutral behavior","Neutral behavior",1,131
"Child Behavior","Child",132,"Neutral behavior","Neutral behavior",1,132
"Child Behavior","Child",133,"Neutral behavior","Neutral behavior",1,133
"Child Behavior","Child",134,"Neutral behavior","Neutral behavior",1,134
"Child Behavior","Child",135,"Neutral behavior","Neutral behavior",1,135
"Child Behavior","Child",136,"Neutral behavior","Neutral behavior",1,136
"Child Behavior","Child",137,"Neutral behavior","Neutral behavior",1,137
"Child Behavior","Child",138,"Neutral behavior","Neutral behavior",1,138
"Child Behavior","Child",139,"Neutral behavior","Neutral behavior",1,139
"Child Behavior","Child",140,"Neutral behavior","Neutral behavior",1,140
"Child Behavior","Child",141,"Neutral behavior","Neutral behavior",1,141
"Child Behavior","Child",142,"Neutral behavior","Neutral behavior",1,142
"Child Behavior","Child",143,"Neutral behavior","Neutral behavior",1,143
"Child Behavior","Child",144,"Neutral behavior","Neutral behavior",1,144
"Child Behavior","Child",145,"Neutral behavior","Neutral behavior",1,145
"Child Behavior","Child",146,"Neutral behavior","Neutral behavior",1,146
"Child Behavior","Child",147,"Neutral behavior","Neutral behavior",1,147
"Child Behavior","Child",148,"Neutral behavior","Neutral behavior",1,148
"Child Behavior","Child",149,"Neutral behavior","Neutral behavior",1,149
"Child Behavior","Child",150,"Neutral behavior","Neutral behavior",1,150
"Child Behavior","Child",151,"Neutral behavior","Neutral behavior",1,151
"Child Behavior","Child",152,"Neutral behavior","Neutral behavior",1,152
"Child Behavior","Child",153,"Neutral behavior","Neutral behavior",1,153
"Child Behavior","Child",154,"Neutral behavior","Neutral behavior",1,154
"Child Behavior","Child",155,"Neutral behavior","Neutral behavior",1,155
"Child Behavior","Child",156,"Neutral behavior","Neutral behavior",1,156
"Child Behavior","Child",157,"Neutral behavior","Neutral behavior",1,157
"Child Behavior","Child",158,"Neutral behavior","Neutral behavior",1,158
"Child Behavior","Child",159,"Neutral behavior","Neutral behavior",1,159
"Child Behavior","Child",160,"Neutral behavior","Neutral behavior",1,160
"Child Behavior","Child",161,"Neutral behavior","Neutral behavior",1,161
"Child Behavior","Child",162,"Neutral behavior","Neutral behavior",1,162
"Child Behavior","Child",163,"Neutral behavior","Neutral behavior",1,163
"Child Behavior","Child",164,"Neutral behavior","Neutral behavior",1,164
"Child Behavior","Child",165,"Neutral behavior","Neutral behavior",1,165
"Child Behavior","Child",166,"Neutral behavior","Neutral behavior",1,166
"Child Behavior","Child",167,"Neutral behavior","Neutral behavior",1,167
"Child Behavior","Child",168,"Neutral behavior","Neutral behavior",1,168
"Child Behavior","Child",169,"Neutral behavior","Neutral behavior",1,169
"Child Behavior","Child",170,"Neutral behavior","Neutral behavior",1,170
"Child Behavior","Child",171,"Neutral behavior","Neutral behavior",1,171
"Child Behavior","Child",172,"Neutral behavior","Neutral behavior",1,172
"Child Behavior","Child",173,"Neutral behavior","Neutral behavior",1,173
"Child Behavior","Child",174,"Neutral behavior","Neutral behavior",1,174
"Child Behavior","Child",175,"Neutral behavior","Neutral behavior",1,175
"Child Behavior","Child",176,"Neutral behavior","Neutral behavior",1,176
"Child Behavior","Child",177,"Neutral behavior","Neutral behavior",1,177
"Child Behavior","Child",178,"Neutral behavior","Neutral behavior",1,178
"Child Behavior","Child",179,"Neutral behavior","Neutral behavior",1,179
"Child Behavior","Child",180,"Neutral behavior","Neutral behavior",1,180
"Child Behavior","Child",181,"Neutral behavior","Provides Explanation/Elaboration",0,181
"Child Behavior","Child",182,"Neutral behavior","Provides Explanation/Elaboration",0,182
"Child Behavior","Child",183,"Neutral behavior","Provides Explanation/Elaboration",0,183
"Child Behavior","Child",184,"Neutral behavior","Provides Explanation/Elaboration",0,184
"Child Behavior","Child",185,"Neutral behavior","Provides Explanation/Elaboration",0,185
"Child Behavior","Child",186,"Neutral behavior","Provides Explanation/Elaboration",0,186
"Child Behavior","Child",187,"Neutral behavior","Provides Explanation/Elaboration",0,187
"Child Behavior","Child",188,"Neutral behavior","Provides Explanation/Elaboration",0,188
"Child Behavior","Child",189,"Neutral behavior","Neutral behavior",1,189
"Child Behavior","Child",190,"Neutral behavior","Neutral behavior",1,190
"Child Behavior","Child",191,"Neutral behavior","Neutral behavior",1,191
"Child Behavior","Child",192,"Neutral behavior","Neutral behavior",1,192
"Child Behavior","Child",193,"Neutral behavior","Neutral behavior",1,193
"Child Behavior","Child",194,"Neutral behavior","Neutral behavior",1,194
"Child Behavior","Child",195,"Neutral behavior","Neutral behavior",1,195
"Child Behavior","Child",196,"Neutral behavior","Neutral behavior",1,196
"Child Behavior","Child",197,"Neutral behavior","Neutral behavior",1,197
"Child Behavior","Child",198,"Neutral behavior","Neutral behavior",1,198
"Child Behavior","Child",199,"Neutral behavior","Neutral behavior",1,199
"Child Behavior","Child",200,"Neutral behavior","Neutral behavior",1,200
"Child Behavior","Child",201,"Neutral behavior","Neutral behavior",1,201
"Child Behavior","Child",202,"Neutral behavior","Neutral behavior",1,202
"Child Behavior","Child",203,"Neutral behavior","Neutral behavior",1,203
"Child Behavior","Child",204,"Neutral behavior","Neutral behavior",1,204
"Child Behavior","Child",205,"Neutral behavior","Neutral behavior",1,205
"Child Behavior","Child",206,"Neutral behavior","Neutral behavior",1,206
"Child Behavior","Child",207,"Neutral behavior","Neutral behavior",1,207
"Child Behavior","Child",208,"Neutral behavior","Neutral behavior",1,208
"Child Behavior","Child",209,"Neutral behavior","Neutral behavior",1,209
"Child Behavior","Child",210,"Neutral behavior","Neutral behavior",1,210
"Child Behavior","Child",211,"Neutral behavior","Neutral behavior",1,211
"Child Behavior","Child",212,"Neutral behavior","Neutral behavior",1,212
"Child Behavior","Child",213,"Neutral behavior","Neutral behavior",1,213
"Child Behavior","Child",214,"Neutral behavior","Neutral behavior",1,214
"Child Behavior","Child",215,"Neutral behavior","Neutral behavior",1,215
"Child Behavior","Child",216,"Neutral behavior","Neutral behavior",1,216
"Child Behavior","Child",217,"Neutral behavior","Neutral behavior",1,217
"Child Behavior","Child",218,"Neutral behavior","Neutral behavior",1,218
"Child Behavior","Child",219,"Neutral behavior","Neutral behavior",1,219
"Child Behavior","Child",220,"Neutral behavior","Neutral behavior",1,220
"Child Behavior","Child",221,"Neutral behavior","Neutral behavior",1,221
"Child Behavior","Child",222,"Warm/supportive behavior","Neutral behavior",0,222
"Child Behavior","Child",223,"Warm/supportive behavior","Warm/supportive behavior",1,223
"Child Behavior","Child",224,"Warm/supportive behavior","Warm/supportive behavior",1,224
"Child Behavior","Child",225,"Neutral behavior","Neutral behavior",1,225
"Child Behavior","Child",226,"Neutral behavior","Neutral behavior",1,226
"Child Behavior","Child",227,"Neutral behavior","Neutral behavior",1,227
"Child Behavior","Child",228,"Neutral behavior","Neutral behavior",1,228
"Child Behavior","Child",229,"Neutral behavior","Neutral behavior",1,229
"Child Behavior","Child",230,"Neutral behavior","Neutral behavior",1,230
"Child Behavior","Child",231,"Neutral behavior","Neutral behavior",1,231
"Child Behavior","Child",232,"Neutral behavior","Provides Explanation/Elaboration",0,232
"Child Behavior","Child",233,"Neutral behavior","Provides Explanation/Elaboration",0,233
"Child Behavior","Child",234,"Neutral behavior","Provides Explanation/Elaboration",0,234
"Child Behavior","Child",235,"Neutral behavior","Provides Explanation/Elaboration",0,235
"Child Behavior","Child",236,"Neutral behavior","Provides Explanation/Elaboration",0,236
"Child Behavior","Child",237,"Neutral behavior","Neutral behavior",1,237
"Child Behavior","Child",238,"Neutral behavior","Neutral behavior",1,238
"Child Behavior","Child",239,"Neutral behavior","Neutral behavior",1,239
"Child Behavior","Child",240,"Neutral behavior","Neutral behavior",1,240
"Child Behavior","Child",241,"Neutral behavior","Neutral behavior",1,241
"Child Behavior","Child",242,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,242
"Child Behavior","Child",243,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,243
"Child Behavior","Child",244,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,244
"Child Behavior","Child",245,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,245
"Child Behavior","Child",246,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,246
"Child Behavior","Child",247,"Neutral behavior","Neutral behavior",1,247
"Child Behavior","Child",248,"Neutral behavior","Neutral behavior",1,248
"Child Behavior","Child",249,"Neutral behavior","Neutral behavior",1,249
"Child Behavior","Child",250,"Neutral behavior","Neutral behavior",1,250
"Child Behavior","Child",251,"Neutral behavior","Neutral behavior",1,251
"Child Behavior","Child",252,"Neutral behavior","Neutral behavior",1,252
"Child Behavior","Child",253,"Neutral behavior","Neutral behavior",1,253
"Child Behavior","Child",254,"Neutral behavior","Neutral behavior",1,254
"Child Behavior","Child",255,"Neutral behavior","Neutral behavior",1,255
"Child Behavior","Child",256,"Neutral behavior","Neutral behavior",1,256
"Child Behavior","Child",257,"Neutral behavior","Neutral behavior",1,257
"Child Behavior","Child",258,"Neutral behavior","Neutral behavior",1,258
"Child Behavior","Child",259,"Neutral behavior","Neutral behavior",1,259
"Child Behavior","Child",260,"Neutral behavior","Neutral behavior",1,260
"Child Behavior","Child",261,"Neutral behavior","Neutral behavior",1,261
"Child Behavior","Child",262,"Neutral behavior","Neutral behavior",1,262
"Child Behavior","Child",263,"Neutral behavior","Neutral behavior",1,263
"Child Behavior","Child",264,"Neutral behavior","Neutral behavior",1,264
"Child Behavior","Child",265,"Neutral behavior","Neutral behavior",1,265
"Child Behavior","Child",266,"Neutral behavior","Neutral behavior",1,266
"Child Behavior","Child",267,"Neutral behavior","Neutral behavior",1,267
"Child Behavior","Child",268,"Neutral behavior","Neutral behavior",1,268
"Child Behavior","Child",269,"Neutral behavior","Neutral behavior",1,269
"Child Behavior","Child",270,"Neutral behavior","Neutral behavior",1,270
"Child Behavior","Child",271,"Neutral behavior","Neutral behavior",1,271
"Child Behavior","Child",272,"Neutral behavior","Neutral behavior",1,272
"Child Behavior","Child",273,"Neutral behavior","Neutral behavior",1,273
"Child Behavior","Child",274,"Neutral behavior","Neutral behavior",1,274
"Child Behavior","Child",275,"Neutral behavior","Neutral behavior",1,275
"Child Behavior","Child",276,"Neutral behavior","Neutral behavior",1,276
"Child Behavior","Child",277,"Neutral behavior","Neutral behavior",1,277
"Child Behavior","Child",278,"Neutral behavior","Neutral behavior",1,278
"Child Behavior","Child",279,"Neutral behavior","Neutral behavior",1,279
"Child Behavior","Child",280,"Neutral behavior","Neutral behavior",1,280
"Child Behavior","Child",281,"Neutral behavior","Neutral behavior",1,281
"Child Behavior","Child",282,"Neutral behavior","Neutral behavior",1,282
"Child Behavior","Child",283,"Neutral behavior","Neutral behavior",1,283
"Child Behavior","Child",284,"Neutral behavior","Neutral behavior",1,284
"Child Behavior","Child",285,"Neutral behavior","Neutral behavior",1,285
"Child Behavior","Child",286,"Neutral behavior","Neutral behavior",1,286
"Child Behavior","Child",287,"Neutral behavior","Neutral behavior",1,287
"Child Behavior","Child",288,"Neutral behavior","Neutral behavior",1,288
"Child Behavior","Child",289,"Neutral behavior","Neutral behavior",1,289
"Child Behavior","Child",290,"Neutral behavior","Neutral behavior",1,290
"Child Behavior","Child",291,"Neutral behavior","Neutral behavior",1,291
"Child Behavior","Child",292,"Neutral behavior","Neutral behavior",1,292
"Child Behavior","Child",293,"Neutral behavior","Neutral behavior",1,293
"Child Behavior","Child",294,"Neutral behavior","Neutral behavior",1,294
"Child Behavior","Child",295,"Neutral behavior","Neutral behavior",1,295
"Child Behavior","Child",296,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,296
"Child Behavior","Child",297,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,297
"Child Behavior","Child",298,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,298
"Child Behavior","Child",299,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,299
"Child Behavior","Child",300,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,300
"Child Behavior","Child",301,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,301
"Child Behavior","Child",302,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,302
"Child Behavior","Child",303,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,303
"Child Behavior","Child",304,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,304
"Child Behavior","Child",305,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,305
"Child Behavior","Child",306,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,306
"Child Behavior","Child",307,"Neutral behavior","Neutral behavior",1,307
"Child Behavior","Child",308,"Neutral behavior","Neutral behavior",1,308
"Child Behavior","Child",309,"Neutral behavior","Neutral behavior",1,309
"Child Behavior","Child",310,"Neutral behavior","Neutral behavior",1,310
"Child Behavior","Child",311,"Neutral behavior","Neutral behavior",1,311
"Child Behavior","Child",312,"Neutral behavior","Neutral behavior",1,312
"Child Behavior","Child",313,"Neutral behavior","Neutral behavior",1,313
"Child Behavior","Child",314,"Neutral behavior","Neutral behavior",1,314
"Child Behavior","Child",315,"Neutral behavior","Neutral behavior",1,315
"Child Behavior","Child",316,"Neutral behavior","Neutral behavior",1,316
"Child Behavior","Child",317,"Neutral behavior","Neutral behavior",1,317
"Child Behavior","Child",318,"Neutral behavior","Neutral behavior",1,318
"Child Behavior","Child",319,"Neutral behavior","Neutral behavior",1,319
"Child Behavior","Child",320,"Neutral behavior","Neutral behavior",1,320
"Child Behavior","Child",321,"Neutral behavior","Neutral behavior",1,321
"Child Behavior","Child",322,"Neutral behavior","Neutral behavior",1,322
"Child Behavior","Child",323,"Neutral behavior","Neutral behavior",1,323
"Child Behavior","Child",324,"Neutral behavior","Neutral behavior",1,324
"Child Behavior","Child",325,"Neutral behavior","Neutral behavior",1,325
"Child Behavior","Child",326,"Neutral behavior","Neutral behavior",1,326
"Child Behavior","Child",327,"Neutral behavior","Neutral behavior",1,327
"Child Behavior","Child",328,"Neutral behavior","Neutral behavior",1,328
"Child Behavior","Child",329,"Neutral behavior","Neutral behavior",1,329
"Child Behavior","Child",330,"Neutral behavior","Neutral behavior",1,330
"Child Behavior","Child",331,"Neutral behavior","Neutral behavior",1,331
"Child Behavior","Child",332,"Neutral behavior","Neutral behavior",1,332
"Child Behavior","Child",333,"Provides explanation/elaboration","Neutral behavior",0,333
"Child Behavior","Child",334,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,334
"Child Behavior","Child",335,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,335
"Child Behavior","Child",336,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,336
"Child Behavior","Child",337,"Provides explanation/elaboration","Neutral behavior",0,337
"Child Behavior","Child",338,"Neutral behavior","Neutral behavior",1,338
"Child Behavior","Child",339,"Neutral behavior","Neutral behavior",1,339
"Child Behavior","Child",340,"Neutral behavior","Neutral behavior",1,340
"Child Behavior","Child",341,"Neutral behavior","Neutral behavior",1,341
"Child Behavior","Child",342,"Neutral behavior","Neutral behavior",1,342
"Child Behavior","Child",343,"Neutral behavior","Neutral behavior",1,343
"Child Behavior","Child",344,"Neutral behavior","Neutral behavior",1,344
"Child Behavior","Child",345,"Neutral behavior","Neutral behavior",1,345
"Child Behavior","Child",346,"Neutral behavior","Neutral behavior",1,346
"Child Behavior","Child",347,"Neutral behavior","Neutral behavior",1,347
"Child Behavior","Child",348,"Neutral behavior","Neutral behavior",1,348
"Child Behavior","Child",349,"Neutral behavior","Neutral behavior",1,349
"Child Behavior","Child",350,"Neutral behavior","Neutral behavior",1,350
"Child Behavior","Child",351,"Neutral behavior","Provides Explanation/Elaboration",0,351
"Child Behavior","Child",352,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,352
"Child Behavior","Child",353,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,353
"Child Behavior","Child",354,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,354
"Child Behavior","Child",355,"Provides explanation/elaboration","Neutral behavior",0,355
"Child Behavior","Child",356,"Provides explanation/elaboration","Neutral behavior",0,356
"Child Behavior","Child",357,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,357
"Child Behavior","Child",358,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,358
"Child Behavior","Child",359,"Provides explanation/elaboration","Provides Explanation/Elaboration",1,359
